iter	Passed	Remaining
0	1	1873
1	4	2142
2	7	2345
3	10	2553
4	11	2375
5	13	2201
6	14	2057
7	16	2033
8	17	1948
9	22	2233
10	24	2177
11	25	2094
12	26	2029
13	28	1978
14	29	1927
15	30	1885
16	33	1922
17	36	1993
18	38	1973
19	39	1936
20	40	1902
21	42	1871
22	43	1847
23	44	1824
24	46	1795
25	48	1813
26	50	1815
27	52	1806
28	53	1794
29	54	1775
30	56	1758
31	57	1738
32	58	1718
33	61	1753
34	63	1755
35	65	1747
36	66	1734
37	67	1720
38	69	1708
39	70	1694
40	71	1680
41	73	1668
42	74	1669
43	77	1673
44	78	1663
45	79	1654
46	81	1646
47	82	1635
48	83	1625
49	85	1618
50	86	1610
51	87	1601
52	89	1600
53	92	1611
54	93	1605
55	94	1597
56	96	1590
57	97	1582
58	98	1574
59	100	1567
60	101	1560
61	102	1554
62	104	1553
63	106	1562
64	108	1559
65	109	1553
66	111	1549
67	112	1542
68	113	1537
69	115	1529
70	116	1522
71	117	1520
72	119	1520
73	121	1522
74	123	1520
75	124	1516
76	126	1514
77	127	1508
78	129	1504
79	130	1498
80	131	1493
81	133	1493
82	135	1494
83	136	1493
84	138	1490
85	139	1487
86	141	1484
87	142	1480
88	144	1476
89	145	1472
90	147	1469
91	149	1475
92	150	1471
93	152	1468
94	153	1463
95	154	1459
96	156	1454
97	157	1450
98	158	1445
99	160	1441
100	161	1440
101	164	1446
102	165	1442
103	167	1439
104	168	1436
105	170	1433
106	171	1429
107	172	1427
108	174	1423
109	177	1434
110	179	1437
111	180	1434
112	182	1429
113	183	1427
114	185	1423
115	186	1420
116	187	1413
117	188	1408
118	190	1407
119	192	1408
120	194	1411
121	195	1405
122	196	1403
123	198	1400
124	199	1397
125	200	1394
126	202	1389
127	203	1386
128	206	1393
129	208	1395
130	209	1391
131	211	1388
132	212	1384
133	213	1380
134	214	1376
135	216	1373
136	217	1370
137	219	1371
138	222	1375
139	223	1372
140	224	1370
141	225	1364
142	227	1362
143	228	1359
144	229	1356
145	231	1352
146	232	1349
147	234	1352
148	236	1353
149	238	1351
150	239	1348
151	241	1345
152	242	1342
153	243	1339
154	245	1336
155	246	1333
156	247	1331
157	249	1332
158	252	1335
159	254	1335
160	255	1330
161	256	1328
162	258	1324
163	259	1321
164	260	1318
165	261	1316
166	265	1323
167	266	1321
168	268	1320
169	269	1317
170	271	1314
171	272	1311
172	273	1309
173	275	1306
174	276	1304
175	278	1303
176	280	1304
177	282	1302
